3,333|三千三百三十三
墨西哥石油平台大火釀5死6傷 衝擊墨國石油1/4產量|墨西哥石油平台大火釀五死六傷 衝擊墨國石油四分之一產量
墨國石油生產減少約1/4。|墨國石油生產減少約四分之一。
或選擇走「海+空」的方式|或選擇走「海加空」的方式
串流平台再掀戰火！Disney+宣布將於今年11月正式登台|串流平台再掀戰火！Disney plus宣布將於今年十一月正式登台
「PP10068」百噸巡邏艇，是編號|「PP一零零六八」百噸巡邏艇，是編號
羅技今日 (8/12)也宣布在台灣推出POP KEYS系列客製化表情符號無線機械式鍵盤。|羅技今日 (八月十二日)也宣布在台灣推出POP KEYS系列客製化表情符號無線機械式鍵盤。
獨／814勝利84周年 空軍披露AIM-120飛彈在台射訓實況F-16|獨／八一四勝利八十四周年 空軍披露AIM-一二零飛彈在台射訓實況F-十六
中央流行疫情指揮中心今公布國內首例「哥倫比亞變異株」（B.1.621）案例|中央流行疫情指揮中心今公布國內首例「哥倫比亞變異株」（B點一點六二一）案例
長庚大學新興病毒研究中心主任施信如表示，E484K突變具有免疫逃脫特性|長庚大學新興病毒研究中心主任施信如表示，E四八四K突變具有免疫逃脫特性
說真的9M88 very pretty|說真的九M八八 very pretty
微軟收購企業內容遞送網路業者Peer5 強化Microsoft Teams線上服務|微軟收購企業內容遞送網路業者peer-five 強化Microsoft Teams線上服務
你存3000城隍也存3000 嘉市|你存三千城隍也存三千 嘉市
就在36-8走路可達的距離|就在三十六到八走路可達的距離
威力彩第110065期今晚開獎 威力彩上一次開出頭獎是今年3月29日的第110025期，|威力彩第一一零零六五期今晚開獎 威力彩上一次開出頭獎是今年三月二十九日的第一一零零二五期，
Q1.振興五倍券面額？|Q一，振興五倍券面額？
通用航空+旅遊觀光|通用航空加旅遊觀光
M.2 solt very quick, B.1.2.621 is horrible|M-dot-two  solt very quick, B-dot-one-dot-two-dot-six-two-one  is horrible
第110065期|第一一零零六五期
第110025期|第一一零零二五期
為07號|為七號
第一區中獎號碼為02、14、16、24、27、29，第二區中獎號碼為07號。|第一區中獎號碼為二、十四、十六、二四、二七、二九，第二區中獎號碼為七號。
Google Pixel 5a來了！IP67防水電池更大 售價約12500元僅兩國買得到|Google Pixel 五a來了！IP六七防水電池更大 售價約一萬兩千五百元僅兩國買得到
110065期 65期 0065期|一一零零六五期 六十五期 零零六五期
covid-19|COVID-nineteen 
結局12:17|結局十二比十七
2008/07|二零零八年七月
1~2天1~2年1~2月1~2兩|一到兩天一到兩年一到二月一到二兩
最大震度宜3北2花2投2苗2竹1中1彰1。|最大震度宜三北二花二投二苗二竹一中一彰一。
≠|不等於
≤|小於等於
≥|大於等於
÷|除以
02|零二
５５６８８|五五六八八
８３１|八三么
第02期|第二期
第1002502期|第一零零二五零二期
iPhone 13|iPhone 十三
約1/10的兒童|約十分之一的兒童
高於保守聯盟黨的24.1%，除此之外|高於保守聯盟黨的百分之二十四點一，除此之外
-64%|負百分之六十四
高達-50%|高達負百分之五十
高達-50%~56%|高達負百分之五十到百分之五十六
高達-27~31%|高達負百分之二十七到百分之三十一
差不多7到15%|差不多百分之七到百分之十五
It's about 15% to 71%|It's about fifteen percent  to seventy-one percent
It's about 15% ~ 71%|It's about fifteen percent to seventy-one percent
約1/3的兒童|約三分之一的兒童
Disney+、Apple TV+|Disney plus、Apple TV plus
F1 (Formula 1,一級方程式賽車)|F one (Formula one,一級方程式賽車)
今年T1聯盟成立|今年T one聯盟成立
海底電纜「2Africa」|海底電纜「two Africa」
AT&T|A-T-and-T
是方電訊（6561）LY2智慧機房|是方電訊（六五六一）LY two智慧機房
2021世界數字經濟大會|二零二一世界數字經濟大會
2021行事曆-人事行政局110年行事曆 - StockQ|二零二一行事曆-人事行政局一一零年行事曆 - StockQ
11/21 2021台灣社區整合照顧研討會|十一月二十一日 二零二一台灣社區整合照顧研討會
李宗盛2021《有歌之年》|李宗盛二零二一《有歌之年》
2021 社會企業|二零二一 社會企業
2021台北國際酒展- 官方網站|二零二一台北國際酒展- 官方網站
2021新車,YAMAHA山葉|二零二一新車,YAMAHA山葉
2021 活動年曆|二零二一 活動年曆
OPTIC 2021|OPTIC 二零二一
2021 觀光行事曆|二零二一 觀光行事曆
2021 JCB網購好康|二零二一 JCB網購好康
2021下半年最完整|二零二一下半年最完整
2021關渡秘境花海|二零二一關渡秘境花海
2021全民Go健康|二零二一全民Go健康
2021秋冬聯名|二零二一秋冬聯名
2021 臺灣網際網路|二零二一 臺灣網際網路
2021臺中購物節|二零二一臺中購物節
2021麥當勞甜心卡|二零二一麥當勞甜心卡
2020-2021連假|二零二零到二零二一連假
2021新北市萬金石馬拉松|二零二一新北市萬金石馬拉松
2021親子天下|二零二一親子天下
行事曆2021 |行事曆二零二一
2021桃園花彩節|二零二一桃園花彩節
【2021請假攻略】2021連假日期|【二零二一請假攻略】二零二一連假日期
2021百大網紅|二零二一百大網紅
臺灣證券交易所2021 網路闖關有獎徵答|臺灣證券交易所二零二一 網路闖關有獎徵答
7月一口氣裁罰滴滴、阿里、騰訊、蘇寧、美團等22案|七月一口氣裁罰滴滴、阿里、騰訊、蘇寧、美團等二十二案
意即這些學生的F-1簽證即日起失效。|意即這些學生的F-一簽證即日起失效。
校方完全可在網上查閱到學生的I-94表格|校方完全可在網上查閱到學生的I-九四表格
16:10顯示比例|十六比十顯示比例
若加入瀏海設計，顯然也讓14吋與16吋新機螢幕解析度分別增加為3024 × 1964、3456 × 2234，同時將解析度各減去74畫素，就會變成3024 × 1890、3456 × 2160，|若加入瀏海設計，顯然也讓十四吋與十六吋新機螢幕解析度分別增加為三零二四 乘 一九六四、三四五六 乘 二二三四，同時將解析度各減去七十四畫素，就會變成三零二四 乘 一八九零、三四五六 乘 二一六零，
是我這輩子71歲以來收到最好的生日禮物。|是我這輩子七十一歲以來收到最好的生日禮物。
60場勝利|六十場勝利
2021第三季|二零二一第三季
鴻海大樓2樓|鴻海大樓二樓
今年已經邁入第十年。2021科技論壇以|今年已經邁入第十年。二零二一科技論壇以
7-11推「精靈寶可夢|seven-eleven推「精靈寶可夢
我想去7-11|我想去seven-eleven
7-11%|百分之七到百分之十一
在 M1 系列 Mac 直接執行|在 M one  系列 Mac 直接執行
10月24日0—24時|十月二十四日零到二十四時
疫情加劇美通膨 葉倫：2022下半年料將有所改善|疫情加劇美通膨 葉倫：二零二二下半年料將有所改善
包括10％低收入|包括百分之十低收入
A+B區商品自由配|A加B區商品自由配
發展報告（2020-2021年版）》顯示|發展報告（二零二零到二零二一年版）》顯示
在今天凌晨的Facebook Connect 2021 大會上|在今天凌晨的Facebook Connect 二零二一 大會上
取暖費漲2/3 不補交就停供|取暖費漲三分之二 不補交就停供
國泰房地產指數以△表示穩定，+ 、-表示小幅波動。++ / --表示中幅波動。+++/---表示大幅波動。|國泰房地產指數以delta 表示穩定，加 、減表示小幅波動。加加 / 減減表示中幅波動。加加加/減減減表示大幅波動。
有88案，本季只剩下55案|有八十八案，本季只剩下五十五案
日公布10月台灣製造業|日公布十月台灣製造業
早上11時改成了10：05分，每周三晚上8時|早上十一時改成了十點五分，每周三晚上八時
境外增3突破性感染 她完整混打「2AZ＋2BNT」仍確診|境外增三突破性感染 她完整混打「二AZ加二BNT」仍確診
首例「AY4.2 」變異株自英國入境 最新定序結果公開|首例「AY四點二 」變異株自英國入境 最新定序結果公開
921大地震|九二一大地震
下次點熟成55/75天的|下次點熟成五十五或七十五天的
2兩|二兩
兑美金匯率一度來到1：18。但里拉貶值|兑美金匯率一度來到一比十八。但里拉貶值
包括KN95與KF94口罩|包括KN九五與KF九四口罩
303大停電|三零三大停電
包括48座工業區|包括四十八座工業區
5週年1：76紀念模型車|五週年一比七十六紀念模型車
立法院經濟委員會針對303大停電進行報告|立法院經濟委員會針對三零三大停電進行報告
松湖變電站2、30年前就提出要蓋，|松湖變電站二、三十年前就提出要蓋，
例如英特爾的Intel Core i9-12900處理器、i10-10980XE|例如英特爾的Intel Core i九-一二九零零處理器、i十-一零九八零XE
超微的Ryzen 9 5950X處理器等|超微的Ryzen 九 五九五零X處理器等
以及宣布 Apple TV +等新品，|以及宣布 Apple TV plus等新品，
每年2、3月|每年二、三月
房市「329檔期」推案好旺|房市「三二九檔期」推案好旺
占新北市329案量六成。|占新北市三二九案量六成。
輸速度最快可達40Gb/s的 Thunderbolt|輸速度最快可達四十Gb每秒的 Thunderbolt
流程輻射偵檢器RT-004亦已恢復正常。|流程輻射偵檢器RT-零零四亦已恢復正常。
疫苗種類，第1、2劑為必須符合：輝|疫苗種類，第一、二劑為必須符合：輝
全球將近 1/3 的金融資產|全球將近 三分之一 的金融資產
已從民國一百零三年進口金額佔GDP百分之6，降到百分之2.6，比重越來越低。|已從民國103年進口金額佔GDP百分之六，降到百分之二點六，比重越來越低。
是全球製藥界龍頭、擁有173年歷史的美國輝瑞|是全球製藥界龍頭、擁有一百七十三年歷史的美國輝瑞
伊朗擁有每日100萬~150萬桶剩餘產能|伊朗擁有每日一百萬到一百五十萬桶剩餘產能
以前的iPhone 8+用到回家|以前的iPhone 八plus用到回家
我也是拿S20+真的很好用|我也是拿S二十plus真的很好用
那是因為它在此前準備了 17 年。|那是因為它在此前準備了 十七 年。
東北新幹線山彥（Yamabiko）223號列車昨天行駛至福島車站與白石藏王車站區間時|東北新幹線山彥（Yamabiko）二二三號列車昨天行駛至福島車站與白石藏王車站區間時
清單上的包括99架俄羅斯民航|清單上的包括九十九架俄羅斯民航
根據104人力銀行調查發現|根據一零四人力銀行調查發現
1111人力銀行發言人|一一一一人力銀行發言人
失事飛機為波音737-800型客機，|失事飛機為波音七三七-八百型客機，
波音737|波音七三七
郭台銘現身立院挺高虹安「2024起手式」|郭台銘現身立院挺高虹安「二零二四起手式」
福島第二核電廠的 2號機|福島第二核電廠的 二號機
在MWC 2022中值得關注的主題|在MWC 二零二二中值得關注的主題
Hiram Bingham III|Hiram Bingham the third 
三峽平均40萬/坪|三峽平均每坪四十萬
【和耀恆美】開價35~40萬/坪，格局規劃2~3房|【和耀恆美】開價每坪三十五到四十萬，格局規劃二到三房
